"NATMON_IND","Indicator","LOCATION","country","TIME","Time","completed_education","Flag Codes","Flags"
"SR_1_G5_F_CP","Survival rate to Grade 5 of primary education, female (%)","HRV","Croatia","2019","2019",,"a","Category not applicable"
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","40030","Middle income countries","2019","2019",87.67472,,
"SR_1_G4_M_CP","Survival rate to Grade 4 of primary education, male (%)","ARG","Argentina","2019","2019",96.88237,,
"SR_1_GLAST_F_CP","Survival rate to the last grade of primary education, female (%)","MOZ","Mozambique","2019","2019",42.65524,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","SLE","Sierra Leone","2019","2019",39.90512,,
"SR_1_G4_F_CP","Survival rate to Grade 4 of primary education, female (%)","IND","India","2019","2019",99.9189,,
"SR_1_G4_F_CP","Survival rate to Grade 4 of primary education, female (%)","UKR","Ukraine","2019","2019",98.6842,,
"SR_1_G5_F_CP","Survival rate to Grade 5 of primary education, female (%)","KAZ","Kazakhstan","2019","2019",,"a","Category not applicable"
"SR_1_G4_M_CP","Survival rate to Grade 4 of primary education, male (%)","KOR","Republic of Korea","2019","2019",99.43357,,
"SR_1_G4_CP","Survival rate to Grade 4 of primary education, both sexes (%)","KHM","Cambodia","2019","2019",88.51265,,
"SR_1_G4_CP","Survival rate to Grade 4 of primary education, both sexes (%)","SYC","Seychelles","2019","2019",97.66937,,
"SR_1_G5_M_CP","Survival rate to Grade 5 of primary education, male (%)","SVK","Slovakia","2019","2019",,"a","Category not applicable"
"SR_1_G5_M_CP","Survival rate to Grade 5 of primary education, male (%)","MEX","Mexico","2019","2019",97.51017,,
"SR_1_G4_CP","Survival rate to Grade 4 of primary education, both sexes (%)","MDA","Republic of Moldova","2019","2019",93.20878,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","40616","Southern Asia","2019","2019",89.27316,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","SMR","San Marino","2019","2019",97.91733,,
"SR_1_GLAST_F_CP","Survival rate to the last grade of primary education, female (%)","SRB","Serbia","2019","2019",97.84898,,
"SR_1_G4_F_CP","Survival rate to Grade 4 of primary education, female (%)","JAM","Jamaica","2019","2019",67.88684,,
"SR_1_G4_M_CP","Survival rate to Grade 4 of primary education, male (%)","ECU","Ecuador","2019","2019",98.57197,,
"SR_1_G4_CP","Survival rate to Grade 4 of primary education, both sexes (%)","PHL","Philippines","2019","2019",98.62896,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","ISR","Israel","2019","2019",99.68705,,
"SR_1_G5_M_CP","Survival rate to Grade 5 of primary education, male (%)","SLV","El Salvador","2019","2019",83.39476,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","LTU","Lithuania","2019","2019",98.97025,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","40530","Central and Eastern Europe","2019","2019",98.89321,"‡","UIS Estimation"
"SR_1_G4_F_CP","Survival rate to Grade 4 of primary education, female (%)","GMB","Gambia","2019","2019",95.1905,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","EGY","Egypt","2019","2019",99.64192,,
"SR_1_G5_CP","Survival rate to Grade 5 of primary education, both sexes (%)","FIN","Finland","2019","2019",99.68107,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","COL","Colombia","2019","2019",93.75266,,
"SR_1_GLAST_F_CP","Survival rate to the last grade of primary education, female (%)","CYP","Cyprus","2019","2019",99.14096,,
"SR_1_G4_M_CP","Survival rate to Grade 4 of primary education, male (%)","AZE","Azerbaijan","2019","2019",97.36231,,
"SR_1_G5_CP","Survival rate to Grade 5 of primary education, both sexes (%)","OMN","Oman","2019","2019",,"a","Category not applicable"
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","FJI","Fiji","2019","2019",73.49081,,
"SR_1_G4_M_CP","Survival rate to Grade 4 of primary education, male (%)","MLT","Malta","2019","2019",99.17777,,
"SR_1_G4_F_CP","Survival rate to Grade 4 of primary education, female (%)","CUB","Cuba","2019","2019",97.18224,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","BFA","Burkina Faso","2019","2019",54.44878,,
"SR_1_G5_M_CP","Survival rate to Grade 5 of primary education, male (%)","ISL","Iceland","2019","2019",99.5556,,
"SR_1_G5_M_CP","Survival rate to Grade 5 of primary education, male (%)","BDI","Burundi","2019","2019",56.26741,,
"SR_1_G4_CP","Survival rate to Grade 4 of primary education, both sexes (%)","ITA","Italy","2019","2019",99.90042,,
"SR_1_GLAST_F_CP","Survival rate to the last grade of primary education, female (%)","MAC","China, Macao Special Administrative Region","2019","2019",99.50112,,
"SR_1_G4_F_CP","Survival rate to Grade 4 of primary education, female (%)","GBR","United Kingdom of Great Britain and Northern Ireland","2019","2019",99.75948,,
"SR_1_G5_CP","Survival rate to Grade 5 of primary education, both sexes (%)","CIV","Côte d'Ivoire","2019","2019",79.72513,,
"SR_1_G5_M_CP","Survival rate to Grade 5 of primary education, male (%)","LKA","Sri Lanka","2019","2019",97.86829,,
"SR_1_G5_CP","Survival rate to Grade 5 of primary education, both sexes (%)","KGZ","Kyrgyzstan","2019","2019",,"a","Category not applicable"
"SR_1_G5_M_CP","Survival rate to Grade 5 of primary education, male (%)","QAT","Qatar","2019","2019",94.76964,,
"SR_1_G5_CP","Survival rate to Grade 5 of primary education, both sexes (%)","CHE","Switzerland","2019","2019",99.73425,,
"SR_1_G5_CP","Survival rate to Grade 5 of primary education, both sexes (%)","BOL","Bolivia (Plurinational State of)","2019","2019",97.0582,,
"SR_1_G4_M_CP","Survival rate to Grade 4 of primary education, male (%)","KHM","Cambodia","2019","2019",86.10103,,
"SR_1_G5_F_CP","Survival rate to Grade 5 of primary education, female (%)","TUR","Türkiye","2019","2019",,"a","Category not applicable"
"SR_1_G4_F_CP","Survival rate to Grade 4 of primary education, female (%)","ZWE","Zimbabwe","2019","2019",95.66089,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","40550","Small Island Developing States","2019","2019",56.94926,"‡","UIS Estimation"
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","LVA","Latvia","2019","2019",96.97023,,
"SR_1_G4_M_CP","Survival rate to Grade 4 of primary education, male (%)","MOZ","Mozambique","2019","2019",66.4745,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","40500","North America and Western Europe","2019","2019",94.6442,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","IND","India","2019","2019",98.49292,,
"SR_1_G4_CP","Survival rate to Grade 4 of primary education, both sexes (%)","LIE","Liechtenstein","2019","2019",96.72274,,
"SR_1_GLAST_F_CP","Survival rate to the last grade of primary education, female (%)","KOR","Republic of Korea","2019","2019",99.11948,,
"SR_1_G5_M_CP","Survival rate to Grade 5 of primary education, male (%)","MAC","China, Macao Special Administrative Region","2019","2019",99.8761,,
"SR_1_G5_CP","Survival rate to Grade 5 of primary education, both sexes (%)","BLR","Belarus","2019","2019",,"a","Category not applicable"
"SR_1_G5_M_CP","Survival rate to Grade 5 of primary education, male (%)","UKR","Ukraine","2019","2019",,"a","Category not applicable"
"SR_1_G5_CP","Survival rate to Grade 5 of primary education, both sexes (%)","DOM","Dominican Republic","2019","2019",89.30947,,
"SR_1_GLAST_F_CP","Survival rate to the last grade of primary education, female (%)","MKD","North Macedonia","2019","2019",93.4108,,
"SR_1_GLAST_F_CP","Survival rate to the last grade of primary education, female (%)","LBN","Lebanon","2019","2019",87.18704,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","SVN","Slovenia","2019","2019",99.63912,,
"SR_1_G4_CP","Survival rate to Grade 4 of primary education, both sexes (%)","ECU","Ecuador","2019","2019",97.66166,,
"SR_1_G4_M_CP","Survival rate to Grade 4 of primary education, male (%)","HND","Honduras","2019","2019",84.70353,,
"SR_1_G4_F_CP","Survival rate to Grade 4 of primary education, female (%)","BLZ","Belize","2019","2019",93.48145,,
"SR_1_G4_CP","Survival rate to Grade 4 of primary education, both sexes (%)","AUT","Austria","2019","2019",99.61435,,
"SR_1_GLAST_F_CP","Survival rate to the last grade of primary education, female (%)","40041","High income countries","2019","2019",94.69049,,
"SR_1_G4_M_CP","Survival rate to Grade 4 of primary education, male (%)","SRB","Serbia","2019","2019",97.23835,,
"SR_1_G4_CP","Survival rate to Grade 4 of primary education, both sexes (%)","LAO","Lao People's Democratic Republic","2019","2019",86.56591,,
"SR_1_GLAST_F_CP","Survival rate to the last grade of primary education, female (%)","SLV","El Salvador","2019","2019",84.40744,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","GEO","Georgia","2019","2019",98.03366,,
"SR_1_G5_CP","Survival rate to Grade 5 of primary education, both sexes (%)","EST","Estonia","2019","2019",99.82554,,
"SR_1_G4_CP","Survival rate to Grade 4 of primary education, both sexes (%)","VUT","Vanuatu","2019","2019",92.87821,,
"SR_1_G5_CP","Survival rate to Grade 5 of primary education, both sexes (%)","ABW","Aruba","2019","2019",90.00263,,
"SR_1_GLAST_F_CP","Survival rate to the last grade of primary education, female (%)","GRC","Greece","2019","2019",99.3425,,
"SR_1_G5_CP","Survival rate to Grade 5 of primary education, both sexes (%)","MYS","Malaysia","2019","2019",97.21411,,
"SR_1_G5_F_CP","Survival rate to Grade 5 of primary education, female (%)","ZAF","South Africa","2019","2019",95.64707,,
"SR_1_G4_CP","Survival rate to Grade 4 of primary education, both sexes (%)","FJI","Fiji","2019","2019",84.33555,,
"SR_1_G5_M_CP","Survival rate to Grade 5 of primary education, male (%)","CHE","Switzerland","2019","2019",100,,
"SR_1_G4_CP","Survival rate to Grade 4 of primary education, both sexes (%)","COL","Colombia","2019","2019",96.13491,,
"SR_1_G5_M_CP","Survival rate to Grade 5 of primary education, male (%)","GMB","Gambia","2019","2019",80.50595,,
"SR_1_G4_M_CP","Survival rate to Grade 4 of primary education, male (%)","SGP","Singapore","2019","2019",99.56403,,
"SR_1_G4_CP","Survival rate to Grade 4 of primary education, both sexes (%)","LCA","Saint Lucia","2019","2019",96.95012,,
"SR_1_G4_F_CP","Survival rate to Grade 4 of primary education, female (%)","LTU","Lithuania","2019","2019",99.06896,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","BFA","Burkina Faso","2019","2019",48.48163,,
"SR_1_GLAST_F_CP","Survival rate to the last grade of primary education, female (%)","EST","Estonia","2019","2019",99.65098,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","SWE","Sweden","2019","2019",99.70293,,
"SR_1_G4_M_CP","Survival rate to Grade 4 of primary education, male (%)","LAO","Lao People's Democratic Republic","2019","2019",84.90728,,
"SR_1_G5_F_CP","Survival rate to Grade 5 of primary education, female (%)","HUN","Hungary","2019","2019",,"a","Category not applicable"
"SR_1_GLAST_F_CP","Survival rate to the last grade of primary education, female (%)","MLT","Malta","2019","2019",97.27768,,
"SR_1_G4_F_CP","Survival rate to Grade 4 of primary education, female (%)","ISL","Iceland","2019","2019",99.25638,,
"SR_1_G4_M_CP","Survival rate to Grade 4 of primary education, male (%)","BOL","Bolivia (Plurinational State of)","2019","2019",97.28382,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","ROU","Romania","2019","2019",94.84612,,
"SR_1_GLAST_F_CP","Survival rate to the last grade of primary education, female (%)","40630","Latin America and the Caribbean","2019","2019",87.82958,"‡","UIS Estimation"
"SR_1_GLAST_F_CP","Survival rate to the last grade of primary education, female (%)","40618","Central and Southern Asia","2019","2019",91.54937,,
"SR_1_G4_M_CP","Survival rate to Grade 4 of primary education, male (%)","CIV","Côte d'Ivoire","2019","2019",83.35114,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","ALB","Albania","2019","2019",89.43762,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","ITA","Italy","2019","2019",99.83543,,
"SR_1_G4_CP","Survival rate to Grade 4 of primary education, both sexes (%)","TON","Tonga","2019","2019",91.84938,,
"SR_1_G4_F_CP","Survival rate to Grade 4 of primary education, female (%)","LKA","Sri Lanka","2019","2019",99.70674,,
"SR_1_G4_CP","Survival rate to Grade 4 of primary education, both sexes (%)","AZE","Azerbaijan","2019","2019",95.33319,,
"SR_1_G4_F_CP","Survival rate to Grade 4 of primary education, female (%)","BRN","Brunei Darussalam","2019","2019",99.56766,,
"SR_1_G4_M_CP","Survival rate to Grade 4 of primary education, male (%)","JOR","Jordan","2019","2019",95.96967,,
"SR_1_G4_F_CP","Survival rate to Grade 4 of primary education, female (%)","QAT","Qatar","2019","2019",97.29517,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","HKG","China, Hong Kong Special Administrative Region","2019","2019",98.83942,,
"SR_1_G5_CP","Survival rate to Grade 5 of primary education, both sexes (%)","MAC","China, Macao Special Administrative Region","2019","2019",99.69671,,
"SR_1_GLAST_F_CP","Survival rate to the last grade of primary education, female (%)","BEN","Benin","2019","2019",37.57578,,
"SR_1_G5_M_CP","Survival rate to Grade 5 of primary education, male (%)","NOR","Norway","2019","2019",98.62295,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","ZWE","Zimbabwe","2019","2019",87.57015,,
"SR_1_G4_F_CP","Survival rate to Grade 4 of primary education, female (%)","LVA","Latvia","2019","2019",98.18671,,
"SR_1_G5_F_CP","Survival rate to Grade 5 of primary education, female (%)","ARM","Armenia","2019","2019",,"a","Category not applicable"
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","40613","South-Eastern Asia","2019","2019",94.32985,"‡","UIS Estimation"
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","40515","East Asia and the Pacific","2019","2019",95.36087,,
"SR_1_G5_M_CP","Survival rate to Grade 5 of primary education, male (%)","SLE","Sierra Leone","2019","2019",48.44258,,
"SR_1_GLAST_F_CP","Survival rate to the last grade of primary education, female (%)","CHE","Switzerland","2019","2019",99.23013,,
"SR_1_G5_CP","Survival rate to Grade 5 of primary education, both sexes (%)","MOZ","Mozambique","2019","2019",56.42907,,
"SR_1_G5_CP","Survival rate to Grade 5 of primary education, both sexes (%)","CHN","China","2019","2019",99.90033,,
"SR_1_G4_F_CP","Survival rate to Grade 4 of primary education, female (%)","TZA","United Republic of Tanzania","2019","2019",92.50652,,
"SR_1_G5_CP","Survival rate to Grade 5 of primary education, both sexes (%)","SRB","Serbia","2019","2019",,"a","Category not applicable"
"SR_1_G4_CP","Survival rate to Grade 4 of primary education, both sexes (%)","ESP","Spain","2019","2019",99.85414,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","MHL","Marshall Islands","2019","2019",73.32425,,
"SR_1_G4_M_CP","Survival rate to Grade 4 of primary education, male (%)","MKD","North Macedonia","2019","2019",97.41747,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","KAZ","Kazakhstan","2019","2019",100,,
"SR_1_G4_M_CP","Survival rate to Grade 4 of primary education, male (%)","CZE","Czechia","2019","2019",99.60788,,
"SR_1_GLAST_F_CP","Survival rate to the last grade of primary education, female (%)","BGR","Bulgaria","2019","2019",96.05576,,
"SR_1_G4_M_CP","Survival rate to Grade 4 of primary education, male (%)","DJI","Djibouti","2019","2019",91.96456,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","BLZ","Belize","2019","2019",90.17875,,
"SR_1_GLAST_F_CP","Survival rate to the last grade of primary education, female (%)","GTM","Guatemala","2019","2019",78.08229,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","PHL","Philippines","2019","2019",95.29752,,
"SR_1_GLAST_F_CP","Survival rate to the last grade of primary education, female (%)","HND","Honduras","2019","2019",79.46849,,
"SR_1_GLAST_F_CP","Survival rate to the last grade of primary education, female (%)","40640","Northern America ","2019","2019",88.82146,"‡","UIS Estimation"
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","SEN","Senegal","2019","2019",69.39991,,
"SR_1_G4_CP","Survival rate to Grade 4 of primary education, both sexes (%)","BIH","Bosnia and Herzegovina","2019","2019",95.27206,,
"SR_1_G5_CP","Survival rate to Grade 5 of primary education, both sexes (%)","CPV","Cabo Verde","2019","2019",91.54556,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","40614","Western Asia","2019","2019",78.14567,,
"SR_1_G5_F_CP","Survival rate to Grade 5 of primary education, female (%)","URY","Uruguay","2019","2019",99.12115,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","HRV","Croatia","2019","2019",98.62877,,
"SR_1_G4_CP","Survival rate to Grade 4 of primary education, both sexes (%)","DJI","Djibouti","2019","2019",92.78707,,
"SR_1_G4_M_CP","Survival rate to Grade 4 of primary education, male (%)","MYS","Malaysia","2019","2019",96.619,,
"SR_1_G5_F_CP","Survival rate to Grade 5 of primary education, female (%)","FJI","Fiji","2019","2019",80.10565,,
"SR_1_GLAST_F_CP","Survival rate to the last grade of primary education, female (%)","KGZ","Kyrgyzstan","2019","2019",98.6291,,
"SR_1_G4_CP","Survival rate to Grade 4 of primary education, both sexes (%)","SVN","Slovenia","2019","2019",99.75911,,
"SR_1_G5_M_CP","Survival rate to Grade 5 of primary education, male (%)","LTU","Lithuania","2019","2019",,"a","Category not applicable"
"SR_1_G5_CP","Survival rate to Grade 5 of primary education, both sexes (%)","PAN","Panama","2019","2019",95.31942,,
"SR_1_G5_F_CP","Survival rate to Grade 5 of primary education, female (%)","COL","Colombia","2019","2019",97.50604,,
"SR_1_GLAST_F_CP","Survival rate to the last grade of primary education, female (%)","FIN","Finland","2019","2019",99.65441,,
"SR_1_G5_M_CP","Survival rate to Grade 5 of primary education, male (%)","ABW","Aruba","2019","2019",85.7086,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","40606","Sub-Saharan Africa","2019","2019",59.79977,"‡","UIS Estimation"
"SR_1_G4_M_CP","Survival rate to Grade 4 of primary education, male (%)","LCA","Saint Lucia","2019","2019",95.8539,,
"SR_1_G5_M_CP","Survival rate to Grade 5 of primary education, male (%)","CPV","Cabo Verde","2019","2019",91.15741,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","ARM","Armenia","2019","2019",99.35321,,
"SR_1_G4_CP","Survival rate to Grade 4 of primary education, both sexes (%)","HUN","Hungary","2019","2019",98.84346,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","ISL","Iceland","2019","2019",98.88138,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","MAR","Morocco","2019","2019",95.07421,,
"SR_1_GLAST_F_CP","Survival rate to the last grade of primary education, female (%)","BOL","Bolivia (Plurinational State of)","2019","2019",97.22032,,
"SR_1_G4_F_CP","Survival rate to Grade 4 of primary education, female (%)","DNK","Denmark","2019","2019",99.90323,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","URY","Uruguay","2019","2019",98.93932,,
"SR_1_G5_CP","Survival rate to Grade 5 of primary education, both sexes (%)","SGP","Singapore","2019","2019",99.65885,,
"SR_1_G5_CP","Survival rate to Grade 5 of primary education, both sexes (%)","BEN","Benin","2019","2019",48.88681,,
"SR_1_GLAST_F_CP","Survival rate to the last grade of primary education, female (%)","CIV","Côte d'Ivoire","2019","2019",78.50263,,
"SR_1_G5_M_CP","Survival rate to Grade 5 of primary education, male (%)","RUS","Russian Federation","2019","2019",,"a","Category not applicable"
"SR_1_G5_F_CP","Survival rate to Grade 5 of primary education, female (%)","HKG","China, Hong Kong Special Administrative Region","2019","2019",98.47664,,
"SR_1_G5_M_CP","Survival rate to Grade 5 of primary education, male (%)","UZB","Uzbekistan","2019","2019",,"a","Category not applicable"
"SR_1_G5_F_CP","Survival rate to Grade 5 of primary education, female (%)","ISR","Israel","2019","2019",98.18909,,
"SR_1_G5_CP","Survival rate to Grade 5 of primary education, both sexes (%)","TUV","Tuvalu","2019","2019",83.10623,,
"SR_1_G4_F_CP","Survival rate to Grade 4 of primary education, female (%)","ALB","Albania","2019","2019",92.68604,,
"SR_1_G5_F_CP","Survival rate to Grade 5 of primary education, female (%)","MHL","Marshall Islands","2019","2019",76.99781,,
"SR_1_GLAST_F_CP","Survival rate to the last grade of primary education, female (%)","OMN","Oman","2019","2019",99.30101,,
"SR_1_G5_M_CP","Survival rate to Grade 5 of primary education, male (%)","GTM","Guatemala","2019","2019",79.85645,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","SUR","Suriname","2019","2019",87.66468,,
"SR_1_G5_M_CP","Survival rate to Grade 5 of primary education, male (%)","BRN","Brunei Darussalam","2019","2019",98.85895,,
"SR_1_G5_F_CP","Survival rate to Grade 5 of primary education, female (%)","GEO","Georgia","2019","2019",99.11269,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","CHL","Chile","2019","2019",99.19599,,
"SR_1_G5_F_CP","Survival rate to Grade 5 of primary education, female (%)","SUR","Suriname","2019","2019",94.67213,,
"SR_1_G4_M_CP","Survival rate to Grade 4 of primary education, male (%)","ESP","Spain","2019","2019",99.90268,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","BIH","Bosnia and Herzegovina","2019","2019",93.18631,,
"SR_1_G5_CP","Survival rate to Grade 5 of primary education, both sexes (%)","LBN","Lebanon","2019","2019",88.01561,,
"SR_1_G5_CP","Survival rate to Grade 5 of primary education, both sexes (%)","SVK","Slovakia","2019","2019",,"a","Category not applicable"
"SR_1_G5_M_CP","Survival rate to Grade 5 of primary education, male (%)","KGZ","Kyrgyzstan","2019","2019",,"a","Category not applicable"
"SR_1_GLAST_F_CP","Survival rate to the last grade of primary education, female (%)","40510","World","2019","2019",84.86078,,
"SR_1_G5_M_CP","Survival rate to Grade 5 of primary education, male (%)","IND","India","2019","2019",97.65589,,
"SR_1_G5_CP","Survival rate to Grade 5 of primary education, both sexes (%)","GRC","Greece","2019","2019",99.63747,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","40540","Sub-Saharan Africa","2019","2019",59.76982,"‡","UIS Estimation"
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","KWT","Kuwait","2019","2019",93.95474,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","TZA","United Republic of Tanzania","2019","2019",78.56866,,
"SR_1_G4_M_CP","Survival rate to Grade 4 of primary education, male (%)","BGR","Bulgaria","2019","2019",95.62374,,
"SR_1_G4_F_CP","Survival rate to Grade 4 of primary education, female (%)","MEX","Mexico","2019","2019",98.34551,,
"SR_1_G5_F_CP","Survival rate to Grade 5 of primary education, female (%)","MNE","Montenegro","2019","2019",99.83548,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","40611","Eastern Asia","2019","2019",97.14226,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","40642","Europe and Northern America","2019","2019",96.33514,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","MUS","Mauritius","2019","2019",94.37477,,
"SR_1_G5_F_CP","Survival rate to Grade 5 of primary education, female (%)","MDA","Republic of Moldova","2019","2019",,"a","Category not applicable"
"SR_1_G5_CP","Survival rate to Grade 5 of primary education, both sexes (%)","SLV","El Salvador","2019","2019",85.1827,,
